OKGETULSALD2_4,WAUECBSCHALLD1_UGPM_BEPM,CSWSGILLIAMLDLD01,NPPDNORFK_NLDBRPS_LOAD2,CSWSKNOXLEEUN3,SECIPRATT1LDPRATT_CITY,WAUEWATERPPLDLD6_UGPM_MRES,SPSDUVAL_2LD1,WFECRNGWOODLD2,WAUEWAUE_OTPLDLAKPRESTON_ERC
69.0487,103.435,74.3462,103.5058,69.9032,65.3664,98.5763,55.4836,70.077,97.6793
64.527,93.1882,68.7004,93.5918,64.3408,61.4186,89.0153,59.0258,65.8431,88.2119
59.9023,75.0464,63.8795,74.9098,59.9281,55.3939,72.5951,49.0454,60.3797,72.0459
56.7127,61.9933,61.0915,61.5663,57.2886,51.2936,60.98,43.5709,56.5718,60.5858
53.3583,54.005,57.0908,53.4158,53.5299,47.6343,53.6786,39.3642,53.1311,53.3875
50.0572,52.1583,53.8166,51.3247,50.7375,43.7967,51.8758,34.4421,49.3036,51.6157
43.7999,52.0885,48.0601,51.4146,45.6524,38.3488,51.1047,32.2741,43.3648,50.9183
45.8825,46.1113,50.4322,46.2928,47.7867,42.3789,45.503,41.8345,46.1383,45.1397
45.4985,43.2102,49.4556,43.9072,46.8637,41.7416,42.1396,42.0124,45.6738,41.7772
45.9325,43.9841,49.0237,44.5045,46.4702,42.9727,42.7762,43.6914,46.4099,42.3456
45.5456,42.8524,49.051,43.2888,46.5299,42.8301,41.6786,43.3928,45.859,41.1922
49.3284,47.2659,52.3599,47.8121,49.6437,46.6513,45.9962,47.1352,50.0162,45.3746
50.8349,56.837,53.5293,57.2978,50.9755,48.9539,54.6919,46.5314,52.0019,53.8783
70.1169,70.0551,74.3687,70.4698,70.7866,67.1794,68.6509,61.4742,71.7288,67.9084
75.6069,76.3659,79.5113,76.4,75.8647,72.7993,74.7276,66.2959,77.3064,73.8688
64.0493,62.5927,67.5925,62.4421,64.7522,63.3391,60.66,55.5108,65.1357,60.0853
63.6551,56.9839,66.2207,55.9174,63.6348,64.9759,55.1698,47.2011,63.7816,54.6457
61.6831,51.656,62.2005,48.8424,60.0188,66.1584,48.1213,42.7633,62.1998,48.0754
56.3996,48.6497,56.8809,46.8197,54.6995,62.2425,45.7629,45.8452,57.1672,45.4572
53.9419,38.0157,56.055,36.5266,53.3069,58.9355,36.0012,47.7326,53.9896,35.9166
52.7419,37.0451,54.8055,36.1716,52.1534,58.871,35.5508,48.3085,53.089,35.4873
48.7787,32.9845,50.6674,32.3177,48.3143,52.9178,31.7043,44.7711,48.7709,31.7087
46.2139,32.4099,48.1951,31.7709,45.8622,50.253,31.307,41.9012,46.4704,31.2777
45.4653,34.6948,47.9781,34.6431,45.6333,45.7872,34.3875,41.271,45.4739,34.203
63.3852,45.367,66.9565,45.0891,63.6062,66.3224,44.7135,58.1594,63.5457,44.5071
