time,num_0,CPU_usage_0,RAM_usage_0,num_1,CPU_usage_1,RAM_usage_1,num_2,CPU_usage_2,RAM_usage_2,CPU,RAM,total power(kwh)
0,28016,0.067794124,0.037393667,61813,0.214456077,0.311542063,50733,0.28940603,0.327351993,0.571656231,0.676287723,4596.657786
1,13700,0.057170352,0.023924402,14097,0.042239301,0.035778219,53941,0.307828288,0.347982308,0.407237941,0.40768493,4119.637166
2,10928,0.033306544,0.017915193,23271,0.055510765,0.057031425,70113,0.398223448,0.448678237,0.487040757,0.523624855,4351.166085
3,21179,0.019542354,0.012699387,27014,0.100688787,0.148018032,56471,0.320603208,0.361367802,0.440834349,0.52208522,4217.109166
4,30288,0.100805804,0.070881175,13154,0.04559188,0.033183999,60638,0.34227135,0.384440932,0.488669033,0.488506106,4355.890142
5,8188,0.025689015,0.016264564,10536,0.037488904,0.019895428,68580,0.391957458,0.443487686,0.455135377,0.479647679,4258.600202
6,22439,0.085547603,0.038359976,52285,0.200031421,0.310549629,70874,0.405024024,0.457728226,0.690603048,0.806637832,4941.753724
7,9489,0.023326438,0.018539365,28804,0.096220587,0.149817446,77288,0.442365928,0.497400159,0.561912953,0.66575697,4568.389978
8,21001,0.072459886,0.077084937,28043,0.101998206,0.161776993,70025,0.401327629,0.448500077,0.57578572,0.687362007,4608.638518
9,6677,0.017035739,0.010000413,23105,0.060279349,0.065798708,81233,0.466802542,0.522053414,0.54411763,0.597852535,4516.761074
10,20317,0.028681343,0.008771353,19198,0.021826636,0.02373531,62471,0.357600213,0.400269679,0.408108191,0.432776342,4122.161992
11,6501,0.012944221,0.007959053,19383,0.053483436,0.036293918,87377,0.51555541,0.564063588,0.581983066,0.608316559,4626.618645
12,16141,0.045486197,0.057909006,27986,0.083878011,0.06640188,86253,0.49683603,0.557569579,0.626200238,0.681880465,4754.904269
13,20918,0.077453269,0.040311996,22817,0.071806315,0.068280196,55003,0.314264888,0.362943319,0.463524471,0.471535511,4282.939167
14,10090,0.034904762,0.019530608,31729,0.048801369,0.041950055,48089,0.273430239,0.315120097,0.35713637,0.37660076,3974.279358
15,7400,0.017113933,0.010969967,11715,0.040627063,0.021606274,15988,0.090013355,0.086600149,0.14775435,0.119176389,3366.807154
16,32582,0.089978114,0.066979653,19015,0.096769632,0.046886216,7556,0.02453022,0.01602493,0.211277966,0.129890799,3551.105839
17,26890,0.068763626,0.034877422,8530,0.020245076,0.012339818,5982,0.008226314,0.005293555,0.097235015,0.052510795,3220.237302
18,31146,0.074525451,0.070349627,17236,0.046095812,0.026656121,9455,0.035861895,0.038985337,0.156483158,0.135991086,3392.131718
19,33770,0.077565384,0.073143985,28231,0.080879669,0.045807992,6473,0.01274821,0.009102289,0.171193263,0.128054266,3434.809594
20,16286,0.026633543,0.02619416,16135,0.027553498,0.020311965,6032,0.010508952,0.007484547,0.064695993,0.053990672,3125.833057
21,14609,0.030516244,0.025099418,21966,0.0540502,0.028891619,5599,0.007582365,0.005978916,0.092148809,0.059969952,3205.480884
22,32444,0.044249173,0.030066173,24122,0.032586917,0.031350647,5307,0.012790324,0.012024501,0.089626413,0.073441321,3198.162752
23,17666,0.046894848,0.031239632,11357,0.021270528,0.019237902,1357,0.006281086,0.004825145,0.074446461,0.055302679,3154.121726
24,40190,0.131340115,0.073130568,15206,0.050645233,0.03396349,711,0.003549071,0.003295502,0.185534419,0.11038956,3476.417051
25,15563,0.03360678,0.020096584,5913,0.020380558,0.010942301,732,0.003471623,0.003016193,0.057458961,0.034055078,3104.836529
26,13169,0.035494024,0.0161199,14903,0.028786516,0.036453683,899,0.00362367,0.002575508,0.06790421,0.055149091,3135.140937
27,15581,0.041883785,0.021888517,5821,0.010431347,0.017397892,1383,0.009123955,0.004726114,0.061439087,0.044012523,3116.383918
28,40911,0.062870483,0.064390147,12059,0.017453482,0.014459252,1397,0.005705268,0.005387219,0.086029233,0.084236618,3187.726386
29,36933,0.12654254,0.066366926,37262,0.116573887,0.076278096,1769,0.009904503,0.00822063,0.25302093,0.150865651,3672.213136
30,14514,0.043033125,0.022264043,28662,0.06852741,0.059785889,1002,0.0044653,0.003756712,0.116025834,0.085806644,3274.754401
31,27410,0.071880971,0.050737847,9995,0.020898818,0.028932175,875,0.003584244,0.00279625,0.096364033,0.082466273,3217.710356
32,18165,0.0426168,0.035069217,32362,0.132270666,0.29651062,767,0.003402371,0.003373468,0.178289837,0.334953305,3455.398619
33,31519,0.094284404,0.055163683,18404,0.076631009,0.048166109,986,0.004361169,0.003776573,0.175276583,0.107106365,3446.656377
34,23936,0.062008333,0.070463414,24297,0.081777822,0.063691426,1254,0.005306375,0.003860363,0.149092529,0.138015202,3370.689564
35,12720,0.032665628,0.019498678,16367,0.034282192,0.016444591,1781,0.006600783,0.00498147,0.073548604,0.04092474,3151.516806
36,17321,0.053594994,0.032303073,7727,0.03041555,0.026240913,1509,0.00669282,0.005305101,0.090703364,0.063849087,3201.287267
37,12129,0.02491673,0.014586439,9398,0.028516048,0.016493819,1250,0.005577034,0.004496238,0.059009812,0.035576496,3109.335955
38,8146,0.018081608,0.01040759,5802,0.012768359,0.005871548,2127,0.008846216,0.006367893,0.039696183,0.022647031,3053.302047
39,10314,0.030182592,0.017248045,7463,0.026178275,0.014089556,2087,0.009098902,0.006724193,0.065459769,0.038061794,3128.048973
40,25311,0.086247308,0.040962806,10806,0.058638003,0.036531015,1298,0.005594982,0.003760553,0.150480293,0.081254373,3374.715832
41,27220,0.099264156,0.054723253,4485,0.018889053,0.010723887,2058,0.011133224,0.008989506,0.129286434,0.074436646,3313.226884
42,17768,0.045211654,0.026612262,7752,0.019690905,0.011716918,3794,0.014802161,0.011727957,0.07970472,0.050057137,3169.377316
43,11924,0.02924513,0.022619143,2598,0.00972735,0.003625909,1281,0.005945974,0.004410925,0.044918454,0.030655976,3068.453226
44,19516,0.051610679,0.022980235,7929,0.038278893,0.032478505,1027,0.004653413,0.003958761,0.094542985,0.059417501,3212.427017
45,4831,0.008234747,0.006141042,6393,0.020254407,0.005378004,798,0.004159443,0.002847186,0.032648598,0.014366233,3032.855152
46,13065,0.024497751,0.01535323,2409,0.010497606,0.003348821,1224,0.005861851,0.003861675,0.040857207,0.022563726,3056.670483
47,15052,0.052310705,0.027791712,3630,0.012938998,0.003548739,1271,0.005846308,0.003600153,0.071096011,0.034940604,3144.401191
48,15394,0.042694608,0.017068996,17856,0.074513454,0.0469887,747,0.003862757,0.002940543,0.12107082,0.06699824,3289.39123
49,10006,0.012485606,0.010062279,4323,0.009268879,0.004736737,964,0.004170299,0.003619342,0.025924784,0.018418358,3013.347602
50,15585,0.033208901,0.019986303,11550,0.028352236,0.014687628,876,0.003996129,0.002819872,0.065557265,0.037493803,3128.331836
51,13672,0.019496623,0.031810646,10434,0.040370244,0.024687653,1325,0.006102627,0.003555378,0.065969494,0.060053677,3129.527819
52,11663,0.022709926,0.027359172,10917,0.046109076,0.023506398,1365,0.006720895,0.003743407,0.075539897,0.054608977,3157.29407
53,9441,0.016478359,0.010449534,15347,0.053126313,0.024401825,1000,0.004921326,0.003399274,0.074525998,0.038250633,3154.352482
54,8021,0.015593762,0.016466399,4896,0.025195262,0.018118027,1039,0.005104764,0.00375892,0.045893787,0.038343346,3071.282924
55,18952,0.049505349,0.094850569,9154,0.040297786,0.044099881,1032,0.005183305,0.003735152,0.094986439,0.142685602,3213.713595
56,8155,0.01608054,0.015299141,4217,0.011789826,0.017451115,669,0.003150247,0.002893913,0.031020613,0.035644169,3028.131942
57,43967,0.119153062,0.183119658,29688,0.102142435,0.114129553,869,0.004087149,0.003711952,0.225382646,0.300961163,3592.02722
58,10911,0.024816559,0.021343121,14651,0.027828884,0.050077642,865,0.004392107,0.003108658,0.057037549,0.074529422,3103.613903
