power(W),CPU_usage,RAM_usage
115.4,0.0515,0.3633
126.2,0.1063,0.3646
126.2,0.1017,0.3637
111.7,0.0446,0.3637
110.1,0.0547,0.3637
107.5,0.0547,0.3637
111.8,0.0521,0.3637
112.9,0.0509,0.3637
112.9,0.0456,0.3637
111.1,0.0526,0.3637
109.3,0.0481,0.3637
109.1,0.0499,0.3637
108.2,0.0495,0.3637
113.1,0.0462,0.3637
113.1,0.0462,0.3637
111.8,0.0507,0.3637
108.4,0.0456,0.3637
108.4,0.0443,0.3637
112.2,0.0436,0.3637
114.7,0.0461,0.3637
114.7,0.0449,0.3637
113,0.0462,0.3637
111,0.0436,0.3635
106.9,0.0613,0.3637
110.4,0.0417,0.3637
112.8,0.0417,0.3637
112.8,0.0445,0.3637
110.3,0.048,0.3637
109.5,0.0501,0.3637
107.9,0.0452,0.3637
112,0.0471,0.3637
112.7,0.0521,0.3637
112.7,0.0521,0.3637
112.2,0.0495,0.3637
109.8,0.0505,0.3637
109,0.0483,0.3637
109.2,0.0533,0.3637
112.1,0.0442,0.3637
112.1,0.0442,0.3637
110.9,0.0443,0.3636
111.6,0.0509,0.3637
105.8,0.0516,0.3637
105.7,0.0471,0.3637
109.9,0.0525,0.3637
109.9,0.0449,0.3637
110,0.0467,0.3637
113.2,0.0449,0.3637
108.1,0.0468,0.3637
107.9,0.0432,0.3637
110.6,0.0417,0.3637
110.6,0.043,0.3637
113.2,0.0462,0.3637
113.9,0.0436,0.3637
107.3,0.0448,0.3637
107.7,0.0449,0.3637
107.7,0.0526,0.3637
108.6,0.0504,0.3636
113.3,0.0482,0.3637
112.7,0.0521,0.3637
109.8,0.0534,0.3637
106.8,0.0466,0.3637
106.8,0.0417,0.3637
110.5,0.052,0.3637
109,0.0577,0.3637
112.6,0.0503,0.3637
114.4,0.05,0.3637
107.2,0.0499,0.3637
107.2,0.0487,0.3637
107.2,0.0472,0.3637
109.9,0.0512,0.3637
111.5,0.0527,0.3637
111.7,0.0527,0.3637
108.3,0.0496,0.3637
107.9,0.0474,0.3637
107.9,0.0496,0.3637
109.1,0.0453,0.3637
127.5,0.0586,0.3637
113.2,0.1015,0.3637
111.5,0.0436,0.3637
107.4,0.0449,0.3637
107.4,0.0464,0.3637
108.3,0.0418,0.3637
111.3,0.0448,0.3637
114,0.0443,0.3637
111.8,0.0469,0.3637
108,0.0446,0.3637
108,0.0438,0.3637
108.2,0.0507,0.3637
112.1,0.052,0.3637
113.6,0.0482,0.3637
110.4,0.0517,0.3637
110.4,0.0587,0.3637
109.1,0.0512,0.3637
110.5,0.0528,0.3637
113.1,0.0511,0.3637
112.9,0.053,0.3637
108.1,0.0428,0.3637
108.1,0.0404,0.3637
109.5,0.0436,0.3637
106.8,0.0431,0.3637
109.2,0.0464,0.3637
111.2,0.0509,0.3637
111.7,0.0509,0.3637
111.7,0.0559,0.3637
109.7,0.0481,0.3637
108,0.0468,0.3637
108,0.0446,0.3637
108.3,0.0442,0.3637
109.9,0.042,0.3637
109.9,0.0442,0.3637
113.7,0.0436,0.3637
108.6,0.0442,0.3637
109.3,0.0435,0.3637
113.2,0.0469,0.3637
114.3,0.0467,0.3637
114.3,0.045,0.3637
107.7,0.0453,0.3637
107.6,0.0453,0.3637
110,0.0538,0.3637
113.3,0.0513,0.3637
112.3,0.0513,0.3637
110.3,0.0511,0.3637
110.3,0.0495,0.3637
109.8,0.0519,0.3637
106.6,0.0482,0.3637
108.1,0.0456,0.3637
114,0.0473,0.3637
114,0.0444,0.3637
112.1,0.0463,0.3637
107.2,0.0487,0.3637
108,0.0486,0.3637
111.4,0.0462,0.3637
114,0.0504,0.3637
114,0.0448,0.3637
113.4,0.0489,0.3636
107.7,0.0487,0.3637
106.6,0.0488,0.3637
110.4,0.0449,0.3637
110.5,0.0449,0.3637
110.5,0.0449,0.3637
108.2,0.0461,0.3637
110.3,0.0453,0.3637
109.3,0.0437,0.3636
108.4,0.0489,0.3637
108.4,0.0473,0.3637
108.4,0.0461,0.3637
110.7,0.05,0.3637
112.1,0.05,0.3637
113,0.0485,0.3637
108.9,0.0507,0.3637
108.9,0.0533,0.3637
108.9,0.0557,0.3637
109.1,0.0495,0.3637
111.5,0.0495,0.3637
112.2,0.0451,0.3637
110.1,0.0494,0.3637
107.5,0.0519,0.3637
107.5,0.0571,0.3637
106.9,0.0521,0.3637
109.8,0.0495,0.3637
110.5,0.0494,0.3636
114.7,0.043,0.3636
109.9,0.0453,0.3636
109.9,0.0417,0.3636
106.8,0.0442,0.3636
108.2,0.0443,0.3636
111.1,0.0543,0.3636
113.2,0.0477,0.3636
113.2,0.0483,0.3636
110.8,0.0483,0.3636
107.7,0.0466,0.3636
108.8,0.0495,0.3636
113.3,0.0474,0.3636
109.7,0.043,0.3636
109.7,0.0441,0.3636
109.9,0.0442,0.3636
110.4,0.043,0.3636
107.5,0.0417,0.3636
108.6,0.0509,0.3637
111.8,0.0542,0.3637
110,0.0588,0.3637
110,0.0611,0.3637
112.4,0.052,0.3637
107.4,0.0481,0.3637
108.7,0.0443,0.3637
111.1,0.0443,0.3637
110.1,0.043,0.3637
110.1,0.043,0.3637
109.6,0.0443,0.3637
111.1,0.043,0.3637
107.5,0.0494,0.3637
106.6,0.0521,0.3637
